Make_x,Model,New Price,Decay Coeff,Fit R2,Half-life,Make_y,Body,Listings
Lincoln,Navigator,92673,0.215,0.852,3.22,Lincoln,SUV,83
Lincoln,Town Car,12728,0.048,0.096,14.58,Lincoln,Sedan,84
MAZDA,CX-5,28128,0.118,0.645,5.89,MAZDA,SUV,171
MAZDA,CX-9,39732,0.164,0.825,4.22,MAZDAMAZDA,SUVWagon,110
MAZDA,MAZDA3,24536,0.135,0.803,5.12,MAZDAMAZDAMAZDA,SedanHatchbackWagon,329
MAZDA,MAZDA6,32440,0.161,0.864,4.31,MAZDAMAZDAMAZDAMAZDA,SedanHatchbackWagonSUV,129
MAZDA,MX-5 Miata,27523,0.071,0.82,9.71,MAZDA,Convertible,115
MINI,Cooper,28021,0.128,0.837,5.43,MINIMINIMINI,HatchbackConvertibleCoupe,391
MINI,Cooper Clubman,38936,0.191,0.91,3.63,MINIMINIMINI,WagonCoupeHatchback,99
MINI,Cooper Countryman,40389,0.171,0.765,4.06,MINIMINIMINIMINI,WagonSUVSedanHatchback,122
Maserati,Ghibli,72589,0.173,0.589,4.01,Maserati,Sedan,64
Maserati,GranTurismo,179962,0.2,0.822,3.47,MaseratiMaserati,CoupeConvertible,85
Mercedes-Benz,A 220,40137,0.109,0.183,6.34,Mercedes-Benz,Sedan,90
Mercedes-Benz,C 250,32283,0.135,0.307,5.12,Mercedes-BenzMercedes-Benz,SedanCoupe,77
Mercedes-Benz,C 300,47726,0.182,0.902,3.82,Mercedes-BenzMercedes-BenzMercedes-Benz,SedanCoupeConvertible,666
Mercedes-Benz,C 63 AMG,89186,0.147,0.907,4.72,Mercedes-BenzMercedes-BenzMercedes-Benz,SedanCoupeConvertible,70
Mercedes-Benz,CLA 250,40842,0.177,0.889,3.91,Mercedes-BenzMercedes-Benz,SedanCoupe,226
Mercedes-Benz,CLS 550,96626,0.211,0.773,3.29,Mercedes-Benz,Sedan,77
Mercedes-Benz,E 300,47339,0.105,0.589,6.63,Mercedes-Benz,Sedan,151
